oneTeam,url,two,twoTeam,one
"Aatrox,Pyke,Kassadin,Nidalee,Draven",http://www.op.gg/summoner/matches/ajax/detail/gameId=3284195736&summonerId=41913808&gameTime=1532537705,(Blue Team),"Gnar,Kindred,Morgana,LeBlanc,Swain",(Red Team)
"Alistar,Ryze,Trundle,Fizz,Draven",http://www.op.gg/summoner/matches/ajax/detail/gameId=3281310781&summonerId=41913808&gameTime=1532284502,(Blue Team),"Xin Zhao,Vayne,Darius,LeBlanc,Pyke",(Red Team)
"Poppy,Camille,Xerath,Yasuo,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3280538002&summonerId=41913808&gameTime=1532251590,(Blue Team),"Kled,Evelynn,Irelia,Orianna,Shen",(Red Team)
"Fiddlesticks,Hecarim,Yasuo,Lee Sin,Swain",http://www.op.gg/summoner/matches/ajax/detail/gameId=3280172816&summonerId=41913808&gameTime=1532226211,(Red Team),"Wukong,Trundle,Pyke,Xerath,Gangplank",(Blue Team)
"Wukong,Hecarim,Yasuo,Braum,Kindred",http://www.op.gg/summoner/matches/ajax/detail/gameId=3280181199&summonerId=41913808&gameTime=1532223988,(Red Team),"Wukong,Trundle,Blitzcrank,Azir,Swain",(Blue Team)
"Lissandra,Nidalee,Jayce,Ezreal,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3280280057&summonerId=41913808&gameTime=1532234588,(Red Team),"Gragas,Taliyah,Irelia,Kai'Sa,Braum",(Blue Team)
"Dr. Mundo,Camille,Kled,Kai'Sa,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3284426570&summonerId=64250795&gameTime=1532579877,(Blue Team),"Jayce,Taliyah,Orianna,Irelia,Shen",(Red Team)
"Taliyah,Ryze,Irelia,Soraka,Draven",http://www.op.gg/summoner/matches/ajax/detail/gameId=3280038925&summonerId=41913808&gameTime=1532197833,(Blue Team),"LeBlanc,Sejuani,Camille,Vladimir,Pyke",(Red Team)
"Yasuo,Taliyah,LeBlanc,Morgana,Ryze",http://www.op.gg/summoner/matches/ajax/detail/gameId=3284219045&summonerId=64250795&gameTime=1532540237,(Red Team),"Kindred,Zoe,Soraka,Kai'Sa,Jayce",(Blue Team)
"Camille,Nidalee,Orianna,Lucian,Shen",http://www.op.gg/summoner/matches/ajax/detail/gameId=3284216169&summonerId=64250795&gameTime=1532538189,(Blue Team),"Gangplank,Taliyah,Twisted Fate,Ezreal,Alistar",(Red Team)
"Fiora,Trundle,Vladimir,Ezreal,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3281173058&summonerId=41913808&gameTime=1532271113,(Blue Team),"Camille,Nidalee,Poppy,Orianna,Fiddlesticks",(Red Team)
"Tryndamere,Taliyah,Zoe,Lucian,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3284166077&summonerId=64250795&gameTime=1532533925,(Red Team),"Aatrox,Gragas,LeBlanc,Draven,Alistar",(Blue Team)
"Aatrox,Xin Zhao,LeBlanc,Lucian,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3284520907&summonerId=64250795&gameTime=1532582457,(Blue Team),"Ryze,Kindred,Karma,Kai'Sa,Pyke",(Red Team)
"Lissandra,Trundle,Yasuo,Kai'Sa,Morgana",http://www.op.gg/summoner/matches/ajax/detail/gameId=3284140116&summonerId=64250795&gameTime=1532531731,(Blue Team),"Jayce,Gragas,Zed,Orianna,Alistar",(Red Team)
"Aatrox,Camille,Lissandra,Lucian,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3283141151&summonerId=64250795&gameTime=1532454767,(Red Team),"Rumble,Graves,Yasuo,Morgana,Soraka",(Blue Team)
"Jax,Camille,Rakan,Yasuo,Kai'Sa",http://www.op.gg/summoner/matches/ajax/detail/gameId=3283162803&summonerId=64250795&gameTime=1532457000,(Blue Team),"Lucian,Taliyah,Darius,Shen,Aatrox",(Red Team)
"Dr. Mundo,Taliyah,Vladimir,Lucian,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3283135228&summonerId=64250795&gameTime=1532452099,(Blue Team),"Fiora,Lee Sin,Yasuo,Orianna,Morgana",(Red Team)
"Morgana,Varus,Taliyah,Dr. Mundo,LeBlanc",http://www.op.gg/summoner/matches/ajax/detail/gameId=3283111706&summonerId=64250795&gameTime=1532449417,(Red Team),"Kindred,Ornn,Ryze,Rakan,Lee Sin",(Blue Team)
"Cho'Gath,Sejuani,Yasuo,Ezreal,Alistar",http://www.op.gg/summoner/matches/ajax/detail/gameId=3283057229&summonerId=64250795&gameTime=1532447669,(Blue Team),"Fiora,Xin Zhao,Jayce,Taliyah,Rakan",(Red Team)
"Kennen,Nocturne,Aatrox,Kai'Sa,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3282614573&summonerId=64250795&gameTime=1532414498,(Blue Team),"Urgot,Lee Sin,Katarina,Yasuo,Alistar",(Red Team)
"Lee Sin,LeBlanc,Kai'Sa,Camille,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3281039879&summonerId=41913808&gameTime=1532267026,(Blue Team),"Twisted Fate,Xin Zhao,Gragas,Swain,Aatrox",(Red Team)
"Xin Zhao,Kassadin,Urgot,Kai'Sa,Morgana",http://www.op.gg/summoner/matches/ajax/detail/gameId=3282190324&summonerId=64250795&gameTime=1532365733,(Blue Team),"Ezreal,Nami,LeBlanc,Darius,Rek'Sai",(Red Team)
